Month,SLight,SO_LogeSPM,SI_LogeSPM,SO_temp,D_temp,SI_temp,Rivervol_SI,log10Kvert,mixLscale,D_SO_upwelling,SO_D_downwelling,SO_OceanIN,D_OceanIN,SI_OceanIN,SI_OceanOUT,SO_SI_flow,habS1_pdist,habS2_pdist,habS3_pdist,habD1_pdist,habD2_pdist,habD3_pdist,Inshore_waveheight,DO_log10Kvert,DO_mixLscale,DO_D_upwelling,D_DO_downwelling
1,0.354723599,6.538327114,6.416290978,2.175501394,2.154633326,6.000173577,0.0000080616,-2.015669451,1,0.014405216,0.001216356,0.011457726,0.006215223,0.00250691,0.0000755671,0.0235393510,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,2.968874311,-4.299872959,0.9,0.001838579,0.00176918
2,3.050816551,6.398202994,6.406762042,1.650458448,2.069916366,5.539919706,0.0000067908,-2.120887901,1,0.015721412,0.001404232,0.011615403,0.006032616,0.001930686,0.0000716874,0.0197318712,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,2.943691564,-4.19924006,0.9,0.001663797,0.001717596
3,11.05118887,6.105305557,6.144477008,1.363021885,2.013448148,5.362248715,0.0000058722,-2.215523174,1,0.017683388,0.001551582,0.011679029,0.006370565,0.001779691,0.0000808290,0.0180636017,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,2.887726676,-4.405731635,0.9,0.001586347,0.001558471
4,23.68113012,5.993066663,6.213933951,1.420480964,1.992655035,5.494531501,0.0000068724,-2.31742246,0.884163508,0.017001263,0.001575339,0.011398571,0.005931822,0.001564088,0.0000988780,0.0143642901,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,2.110716224,-4.637706719,0.9,0.00137054,0.001441129
5,34.53323259,6.2683156,6.488951997,2.024402728,2.028018777,6.45080133,0.0000100489,-2.820649371,0.607671289,0.011004133,0.001013392,0.010332852,0.005342493,0.001573301,0.0000893223,0.0131842560,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,1.639451802,-4.497662644,0.9,0.001215898,0.001270773
6,36.79928546,6.791842697,6.822251158,3.265331745,2.085480268,7.95744661,0.0000077654,-3.926386056,0.446021763,0.006568347,0.000616109,0.008271624,0.00422003,0.001676082,0.0001049164,0.0129953662,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,1.458680367,-4.766643078,0.9,0.001125511,0.001229102
7,31.42412235,6.757581063,6.526096039,4.774430598,2.134465873,9.708225234,0.0000067651,-4.760475269,0.411451011,0.005379897,0.000533942,0.007644244,0.003764982,0.001816685,0.0001013821,0.0098794364,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,1.2639961,-4.746197487,0.9,0.001108536,0.001219923
8,24.17028447,6.464142644,6.290689123,5.97915071,2.194864661,10.81319012,0.0000057199,-4.809227706,0.476442673,0.00494963,0.000510722,0.007253897,0.003697493,0.001839635,0.0000656871,0.0120036906,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,1.387218535,-4.83304272,0.9,0.001127767,0.001242958
9,12.8719004,6.305202613,6.256435296,6.192479897,2.245172273,10.83038558,0.0000064668,-4.404287075,0.639261454,0.005544125,0.000511604,0.007992973,0.004113697,0.00201596,0.0001045417,0.0138154696,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,1.883184814,-4.619287373,0.9,0.001219955,0.001330209
10,5.242833382,6.434955167,6.344507847,5.588923255,2.289571947,9.912921776,0.0000089981,-3.820656325,0.922987598,0.006586758,0.000560934,0.008931023,0.004603436,0.002135742,0.0001010570,0.0143255441,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,2.396959603,-4.482487942,0.9,0.001410235,0.001452929
11,0.811267909,6.500037551,6.473097898,4.288346085,2.332581364,8.170388831,0.0000099730,-2.941510359,1,0.007622695,0.000709448,0.007798646,0.003941197,0.002427615,0.0000881788,0.0139332136,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,2.598583019,-4.564337213,0.9,0.001386885,0.001470884
12,0.09260735,6.479405419,6.458307617,3.083297987,2.340026587,6.656513918,0.0000090384,-2.416152461,1,0.011517282,0.000918407,0.009313127,0.004969524,0.002462952,0.0001283326,0.0209515390,0.000326642,0.000326642,0.000326642,0.0000000962,0.0000000962,0.0000000962,3.170000744,-4.366198438,0.9,0.001604227,0.001559979
