"","Likelihood"
"Obs_TAPP",0.0483292472365353
"Obs_NP",NA
"Obs_KelpP",0.973603303229316
"Obs_OmnizooP",0.543095857789253
"Obs_CarnzooP",0.623839086605345
"Obs_PFishP",0.729504781444543
"Obs_DFishP",0.957219462253416
"Obs_BensuspP",0.0278763249223184
"Obs_BencarnP",0.967665640341416
"Obs_birdP",0.990334830667067
"Obs_sealP",0.814889780138702
"Obs_cetaP",0.473226199657697
"Obs_maxbenthslar",NA
"Obs_maxbenthclar",NA
"Obs_Conpfishfish",0.488124921374438
"Obs_Condfishfish",0.425484696672346
"Obs_Conzoofish",0.391929726085325
"Obs_Conzoocarnz",0.683489655649486
"Obs_Conbenfish",0.453937034403515
"Obs_Contotal_bird",0.453446667023451
"Obs_Proppfishbird",0.738616202400584
"Obs_Propdfishbird",0.800584832032444
"Obs_Propmfishbird",0.484882322245326
"Obs_Propdiscbird",0.417618885389546
"Obs_Contotal_seal",0.623902233192768
"Obs_Proppfishseal",0.00516073018446817
"Obs_Propdfishseal",0.76389150294039
"Obs_Propmfishseal",0.822273463988802
"Obs_Contotal_ceta",0.645517118916023
"Obs_Proppfishceta",0.663400302482422
"Obs_Propdfishceta",0.719787666012444
"Obs_Propmfishceta",0.610585307474767
"Obs_Pland_livewt",0.979408305730574
"Obs_Dland_livewt",0.595117244744387
"Obs_Mland_livewt",0.326756864925528
"Obs_Bsland_livewt",0.909120008831747
"Obs_Bcland_livewt",0.974131394599119
"Obs_Zcland_livewt",0.802424784354196
"Obs_Kland_livewt",0.977702804648333
"Obs_kelp_pb",0.672581084172429
"Obs_benslar_pb",0.26442468755764
"Obs_benclar_pb",0.972011363131895
"Obs_bens_pb",0.0896359502324277
"Obs_benc_pb",0.867570284263892
"Obs_omni_pb",0.885680319583904
"Obs_carn_pb",0.966326150588436
"Obs_fishplar_pb",0.189744800898883
"Obs_fishdlar_pb",0.646946759013069
"Obs_fishp_pb",0.514882539830098
"Obs_fishd_pb",0.9852263129513
"Obs_fishm_pb",0.577847190073358
"Obs_bird_pb",0.227183792653547
"Obs_seal_pb",0.449589614003463
"Obs_ceta_pb",0.000380184174608593
"Obs_exud_C_kelp",0.886486109114866
"Obs_kelp_NC",0.999586827508063
"Obs_Denitrif",0.940063767968463
"Obs_Dfdiscardp",0.995518472469735
"Obs_s_x_ammonia",NA
"Obs_d_x_ammonia",NA
"Obs_s_x_nitrate",NA
"Obs_d_x_nitrate",NA
"Obs_s_x_TON",0.907308904218331
"Obs_d_x_TON",0.917889918123152
"Obs_NDJF_s_chl",NA
"Obs_MJJA_s_chl",NA
"Obs_NDJF_s_nitrate",0.990254879125344
"Obs_MJJA_s_nitrate",0.460656622089568
"Obs_NDJF_d_nitrate",0.995122270464427
"Obs_MJJA_d_nitrate",0.996164979106553
"Obs_NDJF_s_ammonia",NA
"Obs_MJJA_s_ammonia",NA
"Obs_NDJF_d_ammonia",NA
"Obs_MJJA_d_ammonia",NA
"Obs_carn_io_ratio",NA
"Obs_omni_io_ratio",NA
"Obs_phyt_io_ratio",NA
"Obs_nit_io_ratio",NA
"Obs_amm_io_ratio",NA
"Obs_pfish_io_ratio",NA
"Obs_dfish_io_ratio",NA
"Obs_birddisc",0.944174117434998
"Obs_sealdisc",0.840301750307295
"Obs_cetadisc",0.975059646027655
"Obs_kelp_beachcast",0.998389636736534
"Obs_Ctland_livewt",0.635516520523122
"Overall",0.513043292405464
