"Value","Description"
1.50444703049062e-05,"water_column_detritus_mineralisation_rate"
1.34060847441603e-07,"upper_layer_water_column_nitrification_rate"
1.85931538305101e-09,"upper_layer_water_column_denitrification_rate"
0.0222840651239225,"lower_layer_water_column_nitrification_rate"
3.83473820063121e-07,"lower_layer_water_column_denitrification_rate"
0.497678636417791,"proportion_of_detritus_or_corpses_converted_to_refractory_material_max_0.5"
9.45964388883694e-05,"mineralisation_rate_scaling_parameter_for_refractory_detritus"
0.0289181377304655,"proportion_of_refractory_detritus_digestible_by_benthos"
0.0124073414889602,"sediment_detritus_mineralisation_rate"
-8.85114103772838e-09,"grain_size_sensitivity_for_sediment_detritus_mineralisation_rate"
8.68665307579008e-05,"sediment_nitrification_rate"
-3.41914465485978e-06,"grain_size_sensitivity_for_sediment_nitrification_rate"
0.605904271501945,"sediment_denitrification_rate"
1.28501255208244e-07,"grain_size_sensitivity_for_sediment_denitrification_rate"
0.00984682864039151,"conversion_rate_of_discards_to_corpses"
0.177876412821549,"conversion_rate_of_corpses_to_sediment_detritus"
0.0200771381673554,"conversion_rate_of_kelp_debris_to_detritus"
0.11563200388631,"detritus_sinking_rate_in_the_upper_layers"
5.80024351641866e-06,"detritus_sinking_rate_in_the_lower_layer"
6.43585723896203e-05,"density_dependent_self_shading_parameter_for_kelp"
0.0015254795547563,"Wave_dependent_beach_cast_rate_for_kelp_debris"
1.04767085318743,"fitting_parameter_for_undersize_demersal_fish_function"
